id,service_id,salon_id,service_name,service_num,department_name,service_class_name,goods_id,goods_name,balance,consume_unit,consume_unit_id,unit,material_raw_json
1337628,489373,1467,【服务】润百颜波波针2ml,FW20250928272265453,皮肤科,中胚层项目,314441,注射用透明酸钠复合溶液（冭活泡泡2.5ml/支）,1,盒,0,盒,"{""id"":184136,""service_id"":489373,""goods_id"":314441,""goods_name"":""注射用透明酸钠复合溶液（冭活泡泡2.5ml/支）"",""balance"":1,""consume_unit"":""盒"",""consume_unit_id"":0,""unit"":""盒"",""ratio"":1,""spu_id"":314441}"
1437966,506452,1467,【服务】乐普珍珠童颜水光+2ml基础水光,FW20251203423242988,皮肤科,中胚层项目,274513,医用透明质酸钠凝胶2.0ml（海月兰）,1,支,0,支,"{""id"":194682,""service_id"":506452,""goods_id"":274513,""goods_name"":""医用透明质酸钠凝胶2.0ml（海月兰）"",""balance"":1,""consume_unit"":""支"",""consume_unit_id"":0,""unit"":""支"",""ratio"":1,""spu_id"":274513}"
181271,118252,1467,【服务】深波微氧小气泡,003001,皮肤科,小项目,,,,,,,
1312919,479309,1467,思伊美（至润）,FW20250901807585737,无创科,玻尿酸（塑形填充）,274211,壳聚糖季铵盐生物胶体液（爱尔菲琳黑）（10支/盒）,1,支,0,支,"{""id"":181552,""service_id"":479309,""goods_id"":274211,""goods_name"":""壳聚糖季铵盐生物胶体液（爱尔菲琳黑）（10支/盒）"",""balance"":1,""consume_unit"":""支"",""consume_unit_id"":0,""unit"":""支"",""ratio"":1,""spu_id"":274211}"
805800,365091,1467,【服务】国产衡力除皱中上面部（3个部位）,FW20240329180131671,无创科,肉毒素治疗,,,,,,,
1424501,502847,1467,【服务】进口保妥适（腋下）100U,FW20251122995256718,无创科,肉毒素治疗,,,,,,,
989870,422170,1467,美国进口超光子全脸,251306,生美部,生美项目,,,,,,,
1421596,502311,1467,【服务】线雕取线术,FW20251119278422273,整外科,其他手术,,,,,,,
1418432,501224,1467,【服务】超皮秒（唇部祛黑）,FW20251116275802327,皮肤科,光电项目,,,,,,,
103938,68313,1467,【服务】发际线,pfk084,皮肤科,脱毛项目,,,,,,,
837502,376164,1467,【服务】欧洲之星单模式,FW20240521154539470,皮肤科,光电项目,,,,,,,
805804,365095,1467,【服务】进口botox瘦脸针+下颌缘100U,FW20240329888055586,无创科,肉毒素治疗,,,,,,,
1148634,441374,1467,【服务】上肢/下肢/腹部/背部/前胸 5选2 牛奶酸+超光子美白,FW20250416483916240,皮肤科,光电项目,,,,,,,
906308,398731,1467,【服务】丰丽雅水光,FW20240913502334016,皮肤科,中胚层项目,184391,101,1,件,0,件,"{""id"":50767,""service_id"":398731,""goods_id"":184391,""goods_name"":""101"",""balance"":1,""consume_unit"":""件"",""consume_unit_id"":0,""unit"":""件"",""ratio"":1,""spu_id"":184391}"
805793,365084,1467,【服务】丽珠兰黑盒,FW20240329203676212,皮肤科,中胚层项目,,,,,,,
1385391,496143,1467,【服务】腹部/背部/前胸 牛奶酸,FW20251024006763633,皮肤科,光电项目,,,,,,,
1385390,496142,1467,【服务】腹部/背部/前胸 超光子,FW20251024874973479,皮肤科,光电项目,,,,,,,
948633,405808,1467,【服务】进口上面部除皱50U,FW20241021781905868,无创科,肉毒素治疗,,,,,,,
897990,394733,1467,【服务】进口上面部除皱50U-60U,FW20240827908336794,无创科,肉毒素治疗,,,,,,,
953591,406454,1467,【服务】生美净颜冰肌,FW20241023215846772,皮肤科,小项目,,,,,,,
989855,422155,1467,日式精致小颜,251290,生美部,生美项目,,,,,,,
828657,374430,1467,【服务】超皮秒（祛斑模式）,FW20240512191362206,皮肤科,光电项目,,,,,,,
989529,422051,1467,唇部脱毛,251258,生美部,生美项目,,,,,,,
